FID1	IID1	FID2	IID2	RT	EZ	Z0	Z1	Z2	PI_HAT	PHE	DST	PPC	RATIO
LBV100	LBV100	LBV101	LBV101	UN	NA	0.9248	0.0549	0.0203	0.0478	-1	0.856344	0.6435	2.1207
LBV100	LBV100	LBV102	LBV102	UN	NA	0.9451	0.0228	0.0321	0.0435	-1	0.856205	0.5833	2.0678
LBV100	LBV100	LBV105	LBV105	UN	NA	0.9108	0.0740	0.0152	0.0522	-1	0.856713	0.8971	2.4615
LBV100	LBV100	LBV106	LBV106	UN	NA	0.9052	0.0719	0.0230	0.0589	-1	0.857751	0.7528	2.2321
LBV100	LBV100	LBV107	LBV107	UN	NA	0.9628	0.0071	0.0302	0.0337	-1	0.854980	0.3001	1.8438
LBV100	LBV100	LBV11	LBV11	UN	NA	0.9616	0.0129	0.0255	0.0320	-1	0.854627	0.1989	1.7538
LBV100	LBV100	LBV112	LBV112	UN	NA	0.9564	0.0269	0.0167	0.0301	-1	0.854135	0.9226	2.5294
LBV100	LBV100	LBV113	LBV113	UN	NA	0.9032	0.0789	0.0179	0.0574	-1	0.857408	0.1577	1.7121
LBV100	LBV100	LBV114	LBV114	UN	NA	0.8885	0.1009	0.0106	0.0610	-1	0.857617	0.9630	2.6939
LBV100	LBV100	LBV127	LBV127	UN	NA	0.9578	0.0000	0.0422	0.0422	-1	0.856194	0.8971	2.4615
LBV100	LBV100	LBV130	LBV130	UN	NA	0.9067	0.0691	0.0242	0.0587	-1	0.857766	0.7365	2.2143
LBV100	LBV100	LBV132	LBV132	UN	NA	0.9323	0.0408	0.0269	0.0473	-1	0.856489	0.7722	2.2593
LBV100	LBV100	LBV133	LBV133	UN	NA	0.9104	0.0671	0.0225	0.0561	-1	0.857402	0.9994	3.5500
LBV100	LBV100	LBV134	LBV134	UN	NA	0.9023	0.0711	0.0266	0.0621	-1	0.858243	0.9842	2.8723
LBV100	LBV100	LBV18	LBV18	UN	NA	0.8932	0.0944	0.0124	0.0596	-1	0.857500	0.9777	2.8085
LBV100	LBV100	LBV24	LBV24	UN	NA	0.9059	0.0791	0.0150	0.0545	-1	0.856980	0.7998	2.2909
LBV100	LBV100	LBV27	LBV27	UN	NA	0.8504	0.1446	0.0050	0.0773	-1	0.859372	0.5000	2.0000
LBV100	LBV100	LBV30	LBV30	UN	NA	0.9437	0.0228	0.0335	0.0449	-1	0.856413	0.9711	2.7500
LBV100	LBV100	LBV31	LBV31	UN	NA	0.9103	0.0699	0.0198	0.0548	-1	0.857161	0.9294	2.5490
