chrom	start	stop	countsAccessPos	singleton	LBVwil	LPdom	LPfor	shared
3L	1	200000	37021	18	10.0	4.0	4.0	67
3L	20001	220000	36827	18	10.0	4.0	4.0	63
3L	40001	240000	36809	18	10.0	4.0	4.0	63
3L	60001	260000	36096	16	10.0	4.0	2.0	57
3L	80001	280000	28458	9	7.0	2.0	1.0	41
3L	100001	300000	32436	13	7.0	3.0	1.0	48
3L	120001	320000	34685	15	9.0	5.0	1.0	50
3L	140001	340000	28705	16	9.0	5.0	1.0	58
3L	160001	360000	33775	22	11.0	7.0	1.0	93
3L	180001	380000	38028	18	11.0	6.0	0.0	94
3L	200001	400000	37423	15	7.0	7.0	0.0	78
3L	220001	420000	38611	15	7.0	7.0	0.0	78
3L	240001	440000	38810	15	7.0	7.0	0.0	78
3L	260001	460000	38810	15	7.0	7.0	0.0	78
3L	280001	480000	38805	15	7.0	7.0	0.0	78
3L	300001	500000	34306	11	7.0	6.0	0.0	71
3L	320001	520000	30185	8	3.0	4.0	0.0	59
3L	340001	540000	30115	8	2.0	6.0	0.0	53
3L	360001	560000	25014	2	0.0	4.0	0.0	20
3L	380001	580000	16241	1	0.0	4.0	0.0	10
3L	400001	600000	8423	1	0.0	2.0	0.0	5
3L	420001	620000	8174	1	0.0	2.0	0.0	5
3L	440001	640000	10384	4	3.0	3.0	0.0	17
3L	460001	660000	15932	9	6.0	4.0	0.0	28
3L	480001	680000	21564	14	6.0	4.0	0.0	40
3L	500001	700000	19309	14	6.0	4.0	0.0	40
3L	520001	720000	19947	14	8.0	4.0	0.0	44
3L	540001	740000	24849	19	11.0	3.0	0.0	68
3L	560001	760000	27193	23	11.0	4.0	0.0	81
3L	580001	780000	30809	25	14.0	6.0	1.0	101
3L	600001	800000	38286	27	16.0	7.0	1.0	120
3L	620001	820000	43822	28	19.0	7.0	1.0	128
3L	640001	840000	47735	25	17.0	7.0	1.0	122
3L	660001	860000	53399	23	16.0	6.0	2.0	131
