chrom	start	end	count	fst	dxy	xpehh_mean	st_xpehh_w_median	st_xpehh_w_std	xpehh_max	xpehh_min	delta_SAF
2R	10588	30588	19	0.02179347	0.00024682	nan	nan	nan	nan	nan	0.07661199
2R	30588	50588	24	0.06233486	0.00024682	nan	nan	nan	nan	nan	-0.01113523
2R	50588	70588	13	0.0244031	0.0001612	nan	nan	nan	nan	nan	-0.48348139
2R	70588	90588	24	0.02671135	0.00023862	nan	nan	nan	nan	nan	0.02888665
2R	90588	110588	28	0.01155467	0.00029874	nan	nan	nan	nan	nan	-0.04347944
2R	110588	130588	25	0.02496077	0.0002128	nan	nan	nan	nan	nan	-0.22382294
2R	130588	150588	33	0.01448122	0.00038275	nan	nan	nan	nan	nan	-0.3992955
2R	150588	170588	56	0.06239171	0.00060376	nan	nan	nan	nan	nan	0.07217563
2R	170588	190588	58	0.03050275	0.00059243	0.10478963	0.10478963	0.10478963	0.10478963	0.10478963	0.05912979
2R	190588	210588	58	0.02845652	0.0004997	0.07773555	0.07773555	0.07773555	0.07773555	0.07773555	-0.12824359
2R	210588	230588	88	0.08672212	0.00094343	-0.28293749	-0.28293749	-0.28293749	-0.28293749	-0.28293749	0.05123654
2R	230588	250588	117	0.05713678	0.00127818	-0.60106474	-0.60106474	-0.60106474	-0.60106474	-0.60106474	-0.1546276
2R	250588	270588	127	0.05831332	0.00127669	-0.45521789	-0.45521789	-0.45521789	-0.45521789	-0.45521789	0.09080577
2R	270588	290588	155	0.0524014	0.00154047	-0.71236874	-0.71236874	-0.71236874	-0.71236874	-0.71236874	-0.05597449
2R	290588	310588	432	0.04159572	0.00413061	-0.03668833	-0.03668833	-0.03668833	-0.03668833	-0.03668833	-0.07243859
2R	310588	330588	135	0.02964349	0.00114979	0.27780939	0.27780939	0.27780939	0.27780939	0.27780939	-0.10429092
2R	330588	350588	60	0.03382773	0.00076293	-0.40442416	-0.40442416	-0.40442416	-0.40442416	-0.40442416	-0.23983169
2R	350588	370588	215	0.02224575	0.00186108	-0.18170541	-0.18170541	-0.18170541	-0.18170541	-0.18170541	-0.05954442
2R	370588	390588	365	0.03957255	0.00297669	0.29330111	0.29330111	0.29330111	0.29330111	0.29330111	-0.06134193
2R	390588	410588	281	0.04327761	0.00246886	0.62681554	0.62681554	0.62681554	0.62681554	0.62681554	-0.04695349
2R	410588	430588	375	0.03962781	0.00333558	0.43447958	0.43447958	0.43447958	0.43447958	0.43447958	0.00465398
2R	430588	450588	348	0.03436676	0.00379899	-0.09114825	-0.09114825	-0.09114825	-0.09114825	-0.09114825	0.00889543
2R	450588	470588	307	0.04812699	0.00329995	0.62388056	0.62388056	0.62388056	0.62388056	0.62388056	-0.14766031
2R	470588	490588	349	0.04253189	0.00358103	0.44424114	0.44424114	0.44424114	0.44424114	0.44424114	-0.01127284
2R	490588	510588	338	0.03399931	0.00343881	0.31125718	0.31125718	0.31125718	0.31125718	0.31125718	-0.01328687
2R	510588	530588	239	0.05195707	0.00234906	0.39105868	0.39105868	0.39105868	0.39105868	0.39105868	-0.03194756
2R	530588	550588	347	0.05963808	0.00344952	-0.24449666	-0.24449666	-0.24449666	-0.24449666	-0.24449666	0.02688638
2R	550588	570588	466	0.03525134	0.00439228	-0.1420245	-0.1420245	-0.1420245	-0.1420245	-0.1420245	-0.03625258
2R	570588	590588	344	0.05174968	0.00304239	-0.55887729	-0.55887729	-0.55887729	-0.55887729	-0.55887729	-0.04847126
2R	590588	610588	412	0.04138947	0.00394035	-0.36726807	-0.36726807	-0.36726807	-0.36726807	-0.36726807	0.02649977
2R	610588	630588	299	0.02577825	0.00323898	0.35561375	0.35561375	0.35561375	0.35561375	0.35561375	-0.01446242
2R	630588	650588	518	0.03752209	0.00514248	-0.32909062	-0.32909062	-0.32909062	-0.32909062	-0.32909062	-0.0443801
2R	650588	670588	387	0.04595245	0.00432256	-0.05837395	-0.05837395	-0.05837395	-0.05837395	-0.05837395	0.1118822
2R	670588	690588	428	0.03117067	0.00490132	0.48361808	0.48361808	0.48361808	0.48361808	0.48361808	-0.00908337
2R	690588	710588	376	0.02040402	0.00383926	-0.21319313	-0.21319313	-0.21319313	-0.21319313	-0.21319313	-0.02106163
