chrom	start	end	count	fst	dxy	xpehh_mean	st_xpehh_w_median	st_xpehh_w_std	xpehh_max	xpehh_min	delta_SAF
2L	2431662	2846472	500	0.67459783	0.00039588	nan	nan	nan	nan	nan	1.324379
2L	2846473	3028083	500	0.64487574	0.0007828	nan	nan	nan	nan	nan	1.08218409
2L	3028097	3123305	500	0.57829794	0.0013	nan	nan	nan	nan	nan	0.8965803
2L	3123314	3209449	500	0.4887889	0.00107356	nan	nan	nan	nan	nan	0.56713586
2L	3209451	3280012	500	0.49391973	0.00135746	nan	nan	nan	nan	nan	0.57208937
2L	3280019	3354536	500	0.3555014	0.00117181	nan	nan	nan	nan	nan	0.40105321
2L	3354541	3429212	500	0.36516538	0.00134173	nan	nan	nan	nan	nan	0.48639554
2L	3429228	3469552	500	0.25012887	0.00222142	nan	nan	nan	nan	nan	0.26458749
2L	3469570	3515968	500	0.16193333	0.00217181	nan	nan	nan	nan	nan	-0.05709797
2L	3516371	3581972	500	0.14899637	0.00141269	nan	nan	nan	nan	nan	-0.04562222
2L	3581978	3664782	500	0.10391729	0.00109103	1.42771531	1.39398074	0.45880458	0.02392059	2.62061141	-0.25018736
2L	3664812	3728591	500	0.12922863	0.00154619	1.07082973	1.08566301	0.27682622	-0.18876523	1.67603768	-0.20496783
2L	3728625	3755468	500	0.10959679	0.00334749	0.89621918	0.95999577	0.23137598	0.15825913	1.29554781	-0.16219577
2L	3755475	3805070	500	0.08231504	0.00200637	0.47077959	0.53811271	0.39092871	-0.66417534	1.22245526	-0.26945464
2L	3805109	3878617	500	0.11214284	0.00118817	-0.39185728	-0.39325203	0.53755723	-1.15083796	1.20291063	-0.19230741
2L	3878702	3923340	500	0.12412931	0.00149088	-0.5015076	-0.40053439	0.51294855	-1.55266223	0.84027313	-0.27510464
2L	3923350	3995444	500	0.10818635	0.00103897	-0.51223135	-0.53509749	0.44449021	-1.65479816	0.36745731	-0.25323367
2L	3995447	4230272	500	0.06118373	0.00043268	-1.10720632	-1.09880786	0.26666168	-1.87225503	-0.50012198	-0.23215683
2L	4230304	4325198	500	0.06479726	0.00111313	-0.40413183	-0.43996808	0.407805	-1.30454821	0.83858387	-0.23722751
2L	4325714	4404777	500	0.03198644	0.00123217	-0.76169867	-0.68743442	0.34155327	-1.80675754	0.05442511	-0.2652627
2L	4404778	4440337	500	0.04098218	0.00237405	-1.04161585	-1.0545695	0.2762363	-1.76177408	-0.28565016	-0.28912549
2L	4440377	4486591	500	0.04553478	0.00173668	-0.81251961	-0.82634454	0.42174908	-1.80087311	0.32792895	-0.32081886
2L	4486610	4519803	500	0.06537145	0.00300435	-0.56295668	-0.61204951	0.49243644	-1.70293465	0.38380923	-0.25912451
2L	4519808	4586015	500	0.0503596	0.00143934	-0.31733269	-0.2615679	0.35550582	-1.34205772	0.74455625	-0.17960793
2L	4586018	4694106	500	0.05563648	0.00065262	-0.89875198	-0.87603816	0.54041389	-2.07182214	0.4520303	-0.28922313
2L	4694115	4745021	500	0.07387392	0.00175986	-0.68804672	-0.76676886	0.46353805	-1.92175831	0.55615636	-0.27290452
2L	4745024	4775270	500	0.07308742	0.00251021	-0.33414282	-0.49398514	0.62995971	-1.62587993	1.27183353	-0.28292872
2L	4775360	4800736	500	0.04767296	0.0031282	0.37969876	0.162767	0.76176889	-0.90899149	2.1675551	-0.25307745
2L	4800785	4832672	500	0.06042831	0.00267077	0.76777213	0.67041105	0.46414166	-0.16615496	1.80408545	-0.29092203
2L	4832683	4887371	500	0.06347086	0.00175344	0.69363145	0.70713861	0.55304312	-0.82024705	2.113039	-0.19916812
2L	4887456	4960734	500	0.05632423	0.00133903	0.7046737	0.78621992	0.6434781	-1.1837372	1.90496083	-0.24701086
2L	4960763	5041389	500	0.07271141	0.001058	nan	nan	nan	nan	nan	-0.2493672
2L	5788883	5883223	500	0.08203193	0.00118631	nan	nan	nan	nan	nan	0.1431746
2L	5883229	5938596	500	0.10789684	0.00190443	nan	nan	nan	nan	nan	0.12338215
2L	5938598	6084744	500	0.10631577	0.00081788	1.58252986	1.50228903	0.51807884	0.24662232	2.75680517	0.27253116
2L	6084759	6157780	500	0.115309	0.00150051	1.41801206	1.40978445	0.30497407	0.33204797	2.13065998	0.22533908
2L	6157785	6187608	500	0.08719813	0.00316767	1.83197249	1.74332847	0.47594071	0.88488387	2.86795982	-0.01005912
2L	6187743	6225874	500	0.09532433	0.00246073	1.34298574	1.27011185	0.2375808	0.90089973	2.33477974	-0.05766426
2L	6226482	6369270	500	0.06990831	0.00059551	1.6501372	1.64892228	0.81012916	-0.38638916	3.54456268	0.02951431
2L	6369278	6427937	500	0.1012334	0.00175752	0.32326384	0.32107592	0.32654486	-0.35070585	0.96291191	0.08268428
2L	6428360	6491736	500	0.08671744	0.00160058	0.32367928	0.31721603	0.47659701	-0.6870339	1.13024663	0.06859435
2L	6491756	6551351	500	0.09589719	0.00172121	-0.85772242	-0.95286795	0.48695989	-2.25517664	-0.03832692	0.07731451
