chrom	start	end	count	fst	dxy	xpehh_mean	st_xpehh_w_median	st_xpehh_w_std	xpehh_max	xpehh_min	delta_SAF
2R	10588	30588	20	0.01937733	0.00025139	nan	nan	nan	nan	nan	0.28886966
2R	30588	50588	24	0.02562354	0.00023804	nan	nan	nan	nan	nan	0.2925605
2R	50588	70588	14	0.10277827	0.00016874	nan	nan	nan	nan	nan	1.14936281
2R	70588	90588	22	0.01046481	0.00025279	nan	nan	nan	nan	nan	-0.04129282
2R	90588	110588	26	-0.00490864	0.00031323	nan	nan	nan	nan	nan	0.1747375
2R	110588	130588	23	0.01967051	0.00021594	nan	nan	nan	nan	nan	0.14733394
2R	130588	150588	32	-0.00769401	0.00035073	nan	nan	nan	nan	nan	-0.0557626
2R	150588	170588	56	0.02786658	0.00059792	nan	nan	nan	nan	nan	0.12647266
2R	170588	190588	51	0.0180143	0.00060092	nan	nan	nan	nan	nan	0.18943406
2R	190588	210588	54	0.02230133	0.00047673	nan	nan	nan	nan	nan	-0.25764817
2R	210588	230588	80	0.03226765	0.00083831	nan	nan	nan	nan	nan	-0.05437853
2R	230588	250588	104	0.03426904	0.00118364	-1.27590605	-1.27590605	-1.27590605	-1.27590605	-1.27590605	0.30036804
2R	250588	270588	108	0.00977745	0.00128979	-1.35287326	-1.35287326	-1.35287326	-1.35287326	-1.35287326	0.23104648
2R	270588	290588	140	0.0143899	0.00144293	-1.36406056	-1.36406056	-1.36406056	-1.36406056	-1.36406056	-0.10025041
2R	290588	310588	398	0.02370255	0.00394125	-2.09908484	-2.09908484	-2.09908484	-2.09908484	-2.09908484	-0.05176341
2R	310588	330588	136	0.02657018	0.00113144	-1.64273384	-1.64273384	-1.64273384	-1.64273384	-1.64273384	-0.09334947
2R	330588	350588	56	0.02263905	0.00071421	-0.70320611	-0.70320611	-0.70320611	-0.70320611	-0.70320611	0.363741
2R	350588	370588	194	0.02561626	0.00190495	-1.64247669	-1.64247669	-1.64247669	-1.64247669	-1.64247669	0.05151435
