chrom	start	stop	countsAccessPos	singleton	LBVwil	LPdom	LPfor	shared
3L	1	10000	222	0.0	0.0	0.0	0.0	2.0
3L	10001	20000	84	0.0	0.0	0.0	0.0	2.0
3L	30001	40000	29	nan	0.0	0.0	0.0	0.0
3L	50001	60000	713	2.0	0.0	0.0	2.0	6.0
3L	60001	70000	4810	2.0	2.0	0.0	1.0	10.0
3L	70001	80000	2833	5.0	1.0	2.0	0.0	6.0
3L	80001	90000	2830	nan	0.0	0.0	0.0	0.0
3L	90001	100000	3	nan	0.0	0.0	0.0	0.0
3L	110001	120000	1872	1.0	2.0	0.0	0.0	10.0
3L	120001	130000	5132	0.0	1.0	0.0	0.0	1.0
3L	130001	140000	2845	nan	0.0	0.0	0.0	0.0
3L	140001	150000	613	nan	0.0	0.0	0.0	0.0
3L	150001	160000	2089	nan	0.0	0.0	0.0	0.0
3L	160001	170000	3840	5.0	0.0	1.0	1.0	8.0
3L	170001	180000	683	0.0	0.0	0.0	0.0	1.0
3L	180001	190000	4049	2.0	4.0	1.0	0.0	19.0
3L	190001	200000	4374	1.0	0.0	0.0	0.0	2.0
3L	210001	220000	112	nan	0.0	0.0	0.0	0.0
3L	230001	240000	11	nan	0.0	0.0	0.0	0.0
3L	270001	280000	5	nan	0.0	0.0	0.0	0.0
3L	290001	300000	6811	4.0	0.0	1.0	0.0	7.0
3L	300001	310000	4121	3.0	4.0	2.0	0.0	12.0
3L	330001	340000	1997	1.0	1.0	0.0	0.0	9.0
3L	340001	350000	5953	6.0	2.0	2.0	0.0	34.0
3L	350001	360000	1819	0.0	0.0	0.0	0.0	1.0
3L	360001	370000	2081	0.0	0.0	0.0	0.0	3.0
3L	370001	380000	6695	1.0	0.0	0.0	0.0	7.0
3L	380001	390000	5409	0.0	0.0	2.0	0.0	5.0
3L	390001	400000	2409	nan	0.0	0.0	0.0	0.0
3L	410001	420000	1300	nan	0.0	0.0	0.0	0.0
3L	420001	430000	210	nan	0.0	0.0	0.0	0.0
3L	480001	490000	2312	nan	0.0	0.0	0.0	0.0
3L	530001	540000	1927	1.0	0.0	2.0	0.0	3.0
3L	540001	550000	2671	0.0	0.0	0.0	0.0	2.0
3L	560001	570000	3	nan	0.0	0.0	0.0	0.0
3L	600001	610000	92	nan	0.0	0.0	0.0	0.0
3L	610001	620000	959	nan	0.0	0.0	0.0	0.0
3L	620001	630000	1275	3.0	2.0	1.0	0.0	11.0
3L	630001	640000	1145	0.0	1.0	0.0	0.0	1.0
3L	640001	650000	2959	5.0	1.0	0.0	0.0	8.0
3L	650001	660000	2589	0.0	2.0	1.0	0.0	3.0
3L	660001	670000	4426	5.0	0.0	0.0	0.0	10.0
3L	670001	680000	1206	0.0	0.0	0.0	0.0	2.0
3L	680001	690000	57	nan	0.0	0.0	0.0	0.0
3L	700001	710000	101	nan	0.0	0.0	0.0	0.0
3L	710001	720000	537	0.0	2.0	0.0	0.0	4.0
3L	720001	730000	1119	1.0	0.0	1.0	0.0	2.0
3L	730001	740000	5710	5.0	3.0	0.0	0.0	25.0
3L	740001	750000	1912	2.0	0.0	0.0	0.0	7.0
3L	750001	760000	3103	2.0	0.0	1.0	0.0	8.0
3L	760001	770000	1013	0.0	1.0	0.0	0.0	3.0
3L	770001	780000	2606	2.0	2.0	2.0	1.0	17.0
3L	780001	790000	2247	0.0	0.0	0.0	0.0	3.0
3L	790001	800000	5230	2.0	2.0	1.0	0.0	16.0
3L	800001	810000	3996	1.0	2.0	0.0	0.0	5.0
3L	810001	820000	2591	0.0	1.0	0.0	0.0	3.0
3L	820001	830000	2624	0.0	0.0	0.0	0.0	3.0
3L	830001	840000	3709	0.0	1.0	1.0	0.0	3.0
3L	840001	850000	6488	1.0	1.0	0.0	0.0	8.0
3L	850001	860000	4724	2.0	1.0	0.0	1.0	12.0
3L	860001	870000	1942	5.0	0.0	1.0	0.0	17.0
3L	870001	880000	5365	2.0	0.0	1.0	0.0	16.0
3L	880001	890000	4830	0.0	0.0	1.0	0.0	4.0
3L	890001	900000	1642	0.0	0.0	0.0	0.0	3.0
3L	900001	910000	328	0.0	0.0	0.0	0.0	1.0
3L	910001	920000	114	0.0	0.0	1.0	0.0	0.0
3L	920001	930000	2634	6.0	2.0	3.0	0.0	32.0
3L	930001	940000	124	nan	0.0	0.0	0.0	0.0
3L	940001	950000	1003	1.0	0.0	0.0	0.0	4.0
3L	950001	960000	21	0.0	0.0	0.0	0.0	1.0
3L	960001	970000	1807	1.0	0.0	0.0	0.0	16.0
3L	970001	980000	3295	1.0	0.0	5.0	0.0	13.0
3L	980001	990000	1167	7.0	0.0	2.0	0.0	20.0
3L	1000001	1010000	466	0.0	0.0	0.0	0.0	5.0
3L	1010001	1020000	3632	0.0	0.0	2.0	0.0	8.0
3L	1020001	1030000	2148	0.0	0.0	0.0	0.0	17.0
3L	1070001	1080000	68	0.0	0.0	0.0	0.0	1.0
3L	1090001	1100000	1710	2.0	0.0	0.0	0.0	8.0
3L	1100001	1110000	1901	2.0	0.0	1.0	0.0	17.0
3L	1110001	1120000	2949	4.0	0.0	1.0	0.0	22.0
3L	1120001	1130000	888	nan	0.0	0.0	0.0	0.0
3L	1130001	1140000	3328	1.0	1.0	0.0	0.0	1.0
3L	1140001	1150000	1818	0.0	0.0	1.0	0.0	0.0
